fid,OBJECTID,Name,Contact,Address,Longitude,Lattitude
1,78993,Imran Education school system,+92 320 4310120,"street no 3 mahar nazeer park, Bund Rd, Lahore, Pakistan",74.2661006,31.5539649
2,78994,The Islamic Public School,,"Unnamed Rd,, Lahore, Pakistan",74.26677519,31.55376779
3,78997,The Habib Lyceum Girls High School,,"Lahore, Pakistan",74.2669213,31.5535275
4,78998,HMAS School,,"Lahore, Pakistan",74.2672968,31.554666
5,79013,The Educators,,"E Block, Lahore, Pakistan",74.2747362,31.5542632
6,79080,Azmat Foundation High School,+92 333 4657920,"Khawaja Farid Rd, Block D 1, Gulshan-e-Ravi, Lahore 54000, Pakistan",74.28129172,31.55359911
7,79159,Lal School,,"Malik Munir Rd, Lahore, Pakistan",74.2814334,31.557194
8,79250,Allied School Al Mansoor Campus,+92 42 37141666,"66 link Bund Road Sand, Sanda Rd, Lahore, Pakistan",74.2816517,31.5615426
9,79425,Tatheer Quran Center,+92 308 4794058,"Malik Munir Rd Hashmi Street Main Bazar Chowk Doop Sari Snada kalan Lahore، Lahore 54000, Pakistan",74.28437311,31.55589084
10,79608,Falcon School,,"Dilkusha Park, Lahore, Pakistan",74.2876202,31.5594684
11,79611,Hassan Cambridge School,,"Dilkusha Park, Lahore, Pakistan",74.2876692,31.55954
12,79652,Hamza Bakers,,"Khawaja Farid Rd, Block D, Gulshan-e-Ravi, Lahore 54000, Pakistan",74.28785079,31.55387868
13,79655,Imran Cambridge School,,"Khawaja Farid Rd, Block D, Gulshan-e-Ravi, Lahore 54000, Pakistan",74.28765411,31.55383899
14,79766,British Grammar School,+92 308 8962493,"Khawaja Fareed Rd, Lahore, Pakistan",74.2898076,31.5540794
15,79783,Nobel high school,+92 332 4313586,"98, dilkusha park rajgarh lahore, Lahore 54000, Pakistan",74.2904346,31.5586215
16,79892,Al Huda Academy,,"Butt St, Lahore, Pakistan",74.2937482,31.556888
17,79953,Little Angels High School,+92 321 4095640,"14 a Park, Union Concule Office UC - 87, Shamnagar Rd, Lahore, Pakistan",74.29475993,31.55439715
18,80094,Alama Iqbal High School,+92 42 37145579,"Zahoor Street, National Town, Sanda, Lahore 54000, Pakistan",74.29404558,31.56149694
19,80138,KIDS CAMP SCHOOL SYSTEM,,"Sham Nagar, Lahore, Pakistan",74.2961992,31.5559949
20,80184,Cradle Public School System,+92 42 37157588,"Raj Garh, Lahore, Pakistan",74.2957044,31.5588895
21,80186,Cradle Public School,+92 42 37157588,"Raj Garh, Lahore, Pakistan",74.2956984,31.5588735
22,80344,Mary Grammar High School,,"Sanda Rd, Prem Nagar, Islampura, Lahore, Punjab, Lahore, Pakistan",74.2987413,31.5618444
23,80363,Old Ravians Public School,+92 42 37234020,"Shamnagar Rd, Rajgarh, Sanda, Lahore 54000, Pakistan",74.29963066,31.55447684
24,80430,Children Academy,,"Rajgarh Rd, Lahore, Pakistan",74.301293,31.55997933
25,80442,Modern Standard High School,,"Sanda Rd, Prem Nagar, Islampura, Lahore 54030, Pakistan",74.30002234,31.56189801
26,80561,American Lycetuff,+92 42 37225800,"N-5, Lahore, Pakistan",74.3048332,31.5570998
27,80590,Govt Girls High School,+92 42 37363341,"Ghani Centre, Office 3, Main Multan Rd, Chauburji, Lahore, Punjab, Lahore, Pakistan",74.3046359,31.5547771
28,80597,Punjab College City Campus,,"Rewaz Garden, Lahore, Pakistan",74.3049403,31.5583752
29,80623,The Educators,+92 42 37171001,"Lower Mall, Lahore, Pakistan",74.3047152,31.5611659
30,80628,Abdali Grammar School,,"Rewaz Garden, Lahore, Pakistan",74.3030339,31.5618297
31,80632,Dar-e-Arqam,,"Rewaz Garden, Lahore, Pakistan",74.3036525,31.5618895
32,80637,Unique Science Academy,,"Sanda Rd, Lahore, Pakistan",74.3036833,31.5619709
33,80691,Laday Mclegan High School,,"Lake Road, Lahore, Pakistan",74.30613231,31.55668365
34,80763,cambridge madrassat ul banat school,,"15 Lake Road, Lahore, Pakistan",74.3078052,31.5608448
35,80766,Institute for Disadvantaged Children,,"Anarkali, Lahore, Pakistan",74.30829108,31.56104636
36,80767,The Isar Trust Primary School,,"Multan Rd, Chowk Jain Mandir, Mozang, Lahore 54000, Pakistan",74.3084127,31.5610282
37,80937,Unique High School Lytton road campus,,"Lahore, Pakistan",74.3102112,31.5587898
38,81123,National Public Secondary School,+92 343 4697518,"Mozang Rd, Chowk Mozang Adda, Mozang, Lahore, Punjab, Lahore, Pakistan",74.3140234,31.5595687
39,81140,Govt Fatima Girls High School,,"Anarkali, Lahore, Pakistan",74.3138137,31.5604597
40,81342,The Educators Mozang Campus,,"Mazang, Lahore, Pakistan",74.3172875,31.558924
41,81447,St.Anthony's main ground,,"Lahore, Pakistan",74.3197789,31.5586326
42,81520,Adabistan-e-soophia,,"Mozang Rd, Lahore, Pakistan",74.32155095,31.55544067
43,81802,"City District Govt. Boys High School, Begum Kot , Shahdara, Lahore",+92 42 37394624,"Shahdara 54950, Pakistan",74.26267796,31.610771
44,81807,KPSI School & College Shahdara,+92 321 8881610,"6 Gali Number 3, Shahdara, Pakistan",74.2643135,31.6103237
45,81813,Peace School For Afghan Children,,"Lahore, Pakistan",74.27494,31.569665
46,81824,Naveed Public High School,+92 42 37145526,"Service Road, Lahore, Pakistan",74.2799793,31.5623023
47,81847,Honey Sunny High School,,"Sanda Rd, Sanda Khurd, Sanda, Lahore, Punjab, Lahore, Pakistan",74.2823489,31.5627295
48,81888,Lahore Public School,,"Millat Rd, Lahore, Pakistan",74.2845811,31.56479099
49,81890,A.V Girls High School,+92 42 37142266,"Millat Rd, Lahore, Pakistan",74.2849722,31.5646917
50,81892,William Grammar School,,"Millat Rd, Lahore, Pakistan",74.2851271,31.5654443
51,81901,Arif Model High School,+92 335 4780009,"Taragarh, Shahdara, Pakistan",74.2845042,31.6102489
52,82028,KIPS College,,"(Out Fall Road),, Jilani Rd, Lahore, Pakistan",74.287583,31.5724382
53,82034,Madrasa Mueen Ul Qura'an,+92 321 4243847,"Haider St, Lahore, Pakistan",74.28861498,31.5778623
54,82036,Hanfia Education Centre,+92 300 4143405,"Amin Park No 2 Pandi wala road, Lahore, Pakistan",74.2888953,31.5870142
55,82039,City Police Station Chanot,,"shahbruhan chanot, Lahore, Pakistan",74.28998835,31.56276475
56,82040,Scholars Inn High School,,"Sanda Rd, Sanda Kalan, Sanda, Lahore, Punjab, Lahore, Pakistan",74.2882734,31.5635947
